family,twinno,earning,schyear,highqua,twihigh,age,LNandSE,part,full,self,married,own_exp,bweight,exp_par,parted,sm16,sm18
132,2,20.97674,13,16,16,27,1,0,1,0,0,8,72,,,0,0
133,1,5.7142859,10,10,10,46,0,1,0,0,1,5,39,33,4,1,1
133,2,7.1300673,10,10,10,46,0,0,1,0,1,4,32,45,4,1,1
134,1,7.6923075,10,11,11,47,1,1,0,0,1,30,85,15,8,0,0
134,2,13.84627,10,10,11,47,1,1,0,0,1,,,,8,0,0
135,1,12.474012,10,12,12,25,1,0,1,0,1,3,113,10,1,1,1
135,2,5.0262237,13,12,12,25,1,0,1,0,1,2,112,1,8,1,1
136,1,13.461538,17,17,17,52,1,1,0,0,0,28,88,5,,0,0
136,2,9.4730768,13,17,17,52,1,0,1,0,1,10,40,10,6,0,0
137,1,30.887501,11,12,11,22,0,0,1,0,0,8,83,4,3,1,1
137,2,3.875,11,11,11,22,0,0,1,0,0,2,79,1,7,1,1
138,1,6.8607068,13,12,11,47,0,0,1,0,1,6,88,5,8,0,0
138,2,7.2527471,11,12,12,47,0,0,1,0,1,8,70,,,0,0
139,1,15.384615,10,10,12,56,0,1,0,0,1,10,73,,8,0,1
139,2,7.6923075,11,12,11,56,0,0,1,0,0,,66,,6,0,1
140,1,8,11,15,15,53,0,1,0,0,1,34,96,7,7,0,0
140,2,8.2666321,11,15,15,53,1,0,1,0,1,5,90,,7,0,0
141,1,3.6630037,11,10,10,57,1,1,0,0,1,10,28,31,3,0,0
141,2,4.9340658,11,10,10,57,1,1,0,0,0,13,44,,,0,0
142,1,8.0971661,11,11,11,58,1,0,1,0,1,3,,45,4,0,1
142,2,8.1854048,11,11,12,58,1,0,1,0,1,9,90,0,,0,1
143,1,8.8942308,14,12,17,50,0,0,1,0,0,25,80,,,0,1
143,2,6.0728745,14,17,12,50,0,0,1,0,1,3,82,,4,0,0
144,1,4.1208792,11,11,11,53,0,0,1,0,0,32,,,,0,0
144,2,9.3406591,11,11,11,53,1,0,1,0,0,32,,,,0,0
145,1,6.3186812,13,14,14,53,0,0,1,0,0,14,96,3,6,0,0
145,2,5.4573803,13,14,14,53,1,0,1,0,1,14,97,39,5,0,0
146,1,9.1435919,13,15,15,55,0,1,0,0,1,14,84,14,8,0,0
